time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
190261;190260;0.1;1000;1;0;0 
381418;191157;50.05;0;2;0;0 
574097;192679;25.075;224;3;0;0 
788608;214510;12.5875;1000;4;0;0 
984254;195646;18.83125;933;5;0;0 
1183388;199133;21.953125;865;6;0;0 
1381985;198597;23.5140625;807;7;0;0 
1588045;206058;24.29453125;745;8;0;0 
1776983;188937;24.684765624999997;723;9;0;0 
1964123;187140;24.8798828125;616;10;0;0 
2151019;186895;24.97744140625;323;11;0;0 
2338177;187157;24.928662109375;572;12;0;0 
2539525;201348;24.953051757812503;485;13;0;0 
2727915;188390;24.94085693359375;510;14;0;0 
2915353;187437;24.946954345703126;510;15;0;0 
